split,example_group,pair_id,label,neural_score,symbolic_risk,governed_score,mode,threshold,lambda_risk,rho,symbolic_status,violated_constraints,risk_terms,left_title,right_title,left_brand,right_brand,left_price,right_price
test,tp_recovered_by_soft_penalty,68388208#7080605,1,0.8938071469634121,0.16666666666666666,0.7271404802967455,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",9MM BLACK ON WHITE FLEXIBLE TZE TAPE,Brother TZe-FX221 Flexible ID Tape 9mm x 8m Black on White,,,32.00,0.00
test,tp_recovered_by_soft_penalty,49875913#68571415,1,0.8865358330733779,0.16666666666666666,0.7198691664067113,soft_score_penalty,0.66,1.0,1.0,invalid,"[""accessory_main_product_conflict""]","[""accessory_main_product_conflict""]",IE-2000-16TC-G-L Cisco Industrial Ethernet 2000 Switch (New),Cisco IE-2000-16TC-G-L Industrial Ethernet 2000 Series 16-port Managed Switch with 2x Gigabit SFP,,,1981.00,"1,549.00"
test,tp_recovered_by_soft_penalty,13760940#62665309,1,0.8863033860676454,0.16666666666666666,0.7196367194009787,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",SG350-10SFP-K9-EUCisco SG350-10SFP 10-port Gigabit Managed SFP Switch,Cisco SG350-10SFP-K9 Switch,,,260.49,3490.00
test,tp_recovered_by_soft_penalty,34344759#54995756,1,0.8791474801248731,0.16666666666666666,0.7124808134582065,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Iiyama ProLite T2336MSC-B2AG - Full HD Touch Monitor,Iiyama Prolite Touchscreen 23 InchT2336MSC-B2AG,,,384.05,
test,tp_recovered_by_soft_penalty,98610897#2097710,1,0.8739570010107661,0.16666666666666666,0.7072903343440995,soft_score_penalty,0.66,1.0,1.0,invalid,"[""brand_conflict""]","[""brand_conflict""]",Luminor Base 8 Days Acciaio,Panerai Luminor Base 8 Days,OFFICINE PANERAI,Panerai,4178.00,4551.724138
test,tp_recovered_by_soft_penalty,52322597#14948679,1,0.8682581668880713,0.13333333333333333,0.734924833554738,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",Lezyne Classic Floor Pump (Black),Lezyne Classic Floor Drive 3.5 Floor Pump Abs-1 Pro Chuck,Lezyne,,69.99,69.99
test,tp_recovered_by_soft_penalty,288189#54788213,1,0.8680183095558623,0.16666666666666666,0.7013516428891957,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",XG-1275 Eagle 12-Speed Cassette,Sram GX Eagle™ Kassette XG-1275 - 10-52T 1x12 fach lunar,,Sram,215.00,176.90
test,tp_recovered_by_soft_penalty,96909028#59310973,1,0.8504727540151509,0.16666666666666666,0.6838060873484842,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",Cooler Master MasterLiquid ML240L V2 RGB AIO CPU Cooler,Cooler Master MasterLiquid ML240L V2 RGB - 240 mm,Coolermaster,,70.00,69.99
test,tp_recovered_by_soft_penalty,31493300#69165846,1,0.8494095445987038,0.16666666666666666,0.6827428779320371,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Fisher & Paykel DH9060C1 9kg Heat Pump Condensing Dryer,Fisher & Paykel 9kg Heat Pump Condensing Dryer with LCD Screen,Fisher & Paykel,,1999,2199
test,tp_recovered_by_soft_penalty,12989686#91337903,1,0.8435327053835446,0.16666666666666666,0.676866038716878,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Citizen Eco Drive Stiletto Men's Watch AR3074-54E,Citizen Men's Eco Drive Stainless Steel Watch,,Citizen,399.00,495.00
test,tp_recovered_by_soft_penalty,27924680#41693956,1,0.8318806651106937,0.16666666666666666,0.6652139984440271,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Hamilton Ventura XXL Watch H24655331,Hamilton American Classic Ventura XXL Auto,,,,1175.00
test,tp_recovered_by_soft_penalty,61136589#21236035,1,0.8316036124428333,0.13333333333333333,0.6982702791095,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]","Smart Cover for iPad Pro 10.5\""",iPad Air 10.5 Smart Cover - Charcoal Gray,Apple,,,45.45
